[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-26-18-01-24-575531-drone-home-13656
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-5]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [drive_publisher-1]: process started with pid [13663]
[INFO] [imu_publisher-2]: process started with pid [13664]
[INFO] [drive_hardware-3]: process started with pid [13665]
[INFO] [static_transform_publisher-4]: process started with pid [13666]
[INFO] [static_transform_publisher-5]: process started with pid [13667]
[static_transform_publisher-4] [WARN] [1732662084.726973073] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-5] [WARN] [1732662084.738802267] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-4] [INFO] [1732662084.769889144] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-4] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-4] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-4] from 'map' to 'imu_frame'
[static_transform_publisher-5] [INFO] [1732662084.789796362] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-5] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-5] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-5] from 'map' to 'gps_sensor'
[drive_hardware-3] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-3]   warnings.warn(PWMSoftwareFallback(
[imu_publisher-2] [INFO] [1732662087.112510604] [drone_home1.sim]: Calibration status: (True, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[drive_publisher-1] [INFO] [1732662832.713829913] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662832.749576208] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662832.841573600] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662832.869673370] [drone_home1.sim]: Sent: -0.02027666485590844, -0.5
[drive_publisher-1] [INFO] [1732662832.901572950] [drone_home1.sim]: Sent: -0.02676095854133921, -0.5
[drive_publisher-1] [INFO] [1732662832.937716263] [drone_home1.sim]: Sent: -0.033245255152606144, -0.5
[drive_publisher-1] [INFO] [1732662833.029731228] [drone_home1.sim]: Sent: -0.046213842523467684, -0.5
[drive_publisher-1] [INFO] [1732662833.041654432] [drone_home1.sim]: Sent: -0.033245255152606144, -0.5
[drive_publisher-1] [INFO] [1732662833.093626497] [drone_home1.sim]: Sent: -0.033245255152606144, -0.5
[drive_publisher-1] [INFO] [1732662833.193500579] [drone_home1.sim]: Sent: -0.033245255152606144, -0.5
[drive_publisher-1] [INFO] [1732662833.221734664] [drone_home1.sim]: Sent: -0.02676095854133921, -0.5
[drive_publisher-1] [INFO] [1732662833.269486829] [drone_home1.sim]: Sent: -0.02676095854133921, -0.5
[drive_publisher-1] [INFO] [1732662833.283275659] [drone_home1.sim]: Sent: -0.02027666485590844, -0.5
[drive_publisher-1] [INFO] [1732662833.297571062] [drone_home1.sim]: Sent: -0.02676095854133921, -0.5
[drive_publisher-1] [INFO] [1732662833.332265155] [drone_home1.sim]: Sent: -0.02027666485590844, -0.5
