[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-11-11-56-32-210664-drone-home-3097
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [pwm_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [gps_publisher-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [imu_publisher-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-5]: there are now at least 5 nodes with the name /drone_home1/sim created within this launch context
[INFO] [cv_controller-1]: process started with pid [3099]
[INFO] [pwm_publisher-2]: process started with pid [3101]
[INFO] [gps_publisher-3]: process started with pid [3103]
[INFO] [imu_publisher-4]: process started with pid [3105]
[INFO] [drive_hardware-5]: process started with pid [3107]
[cv_controller-1] [INFO] [1739292993.023207760] [drone_home1.sim]: CV Controller running
[imu_publisher-4] [INFO] [1739292994.572769278] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292995.077123816] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292995.579389632] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292996.081645144] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292996.583929903] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292997.086224326] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292997.588556028] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292998.091048022] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292998.593762867] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292999.096274796] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292999.599006152] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739293000.101829926] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739293000.604520127] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
