[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-20-08-57-09-841598-drone-home-4626
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [cv_controller-1]: process started with pid [4628]
[INFO] [controller-2]: process started with pid [4630]
[INFO] [pwm_publisher-3]: process started with pid [4632]
[INFO] [gps_publisher-4]: process started with pid [4634]
[INFO] [imu_publisher-5]: process started with pid [4636]
[INFO] [drive_hardware-6]: process started with pid [4638]
[cv_controller-1] [INFO] [1740059830.896326108] [drone_home1.sim]: CV Controller running
[controller-2] [INFO] [1740059831.071447518] [drone_home1.controller]: Controller running
[imu_publisher-5] [INFO] [1740059832.505109092] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740059833.008075200] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740059833.510954773] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059834.013770920] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059834.517021023] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059835.019810285] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059835.522730648] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059836.025323675] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059836.527534993] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059837.029841801] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740059837.531727666] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[controller-2] [INFO] [1740059838.007865041] [drone_home1.controller]: Service request to change coordinate custom_messages.srv.SetCoordinate_Request(new_coordinate=sensor_msgs.msg.NavSatFix(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), status=sensor_msgs.msg.NavSatStatus(status=0, service=0), latitude=29.632, longitude=-82.3623, altitude=0.0, position_covariance=array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), position_covariance_type=0))
[controller-2] [INFO] [1740059838.009073677] [drone_home1.controller]: Waypoints now: [(29.632, -82.3623)]
[imu_publisher-5] [INFO] [1740059838.033911202] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
