[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-27-14-03-44-889704-drone-home-86703
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [visualization-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-6]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [controller-1]: process started with pid [86710]
[INFO] [imu_publisher-2]: process started with pid [86711]
[INFO] [drive_hardware-3]: process started with pid [86712]
[INFO] [visualization-4]: process started with pid [86713]
[INFO] [static_transform_publisher-5]: process started with pid [86714]
[INFO] [static_transform_publisher-6]: process started with pid [86715]
[static_transform_publisher-5] [WARN] [1732734225.060474606] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-6] [WARN] [1732734225.071681625] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-5] [INFO] [1732734225.108093707] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-5] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-5] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-5] from 'map' to 'imu_frame'
[static_transform_publisher-6] [INFO] [1732734225.117564086] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-6] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-6] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-6] from 'map' to 'gps_sensor'
[drive_hardware-3] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-3]   warnings.warn(PWMSoftwareFallback(
[controller-1] [INFO] [1732734226.108666243] [drone_home1.sim]: Controller running
[imu_publisher-2] [INFO] [1732734227.476015784] [drone_home1.sim]: Calibration status: (True, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[drive_hardware-3] [INFO] [1732734227.559038785] [drone_home1.sim]: Angle set: -0.5310649237716512
[drive_hardware-3] [INFO] [1732734227.585839710] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.635750836] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.685652518] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.735643589] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.785772214] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.835758748] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.885685115] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.935817740] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734227.985650571] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.035701234] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.085378454] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.135760319] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.185718593] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.235590535] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.285614846] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.335810897] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.385730338] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734228.435723168] [drone_home1.sim]: Angle set: -45.00000125223908
