[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-27-14-32-28-961733-drone-home-5927
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_publisher-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [visualization-5]: there are now at least 5 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-7]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [controller-1]: process started with pid [5933]
[INFO] [imu_publisher-2]: process started with pid [5934]
[INFO] [drive_publisher-3]: process started with pid [5935]
[INFO] [drive_hardware-4]: process started with pid [5936]
[INFO] [visualization-5]: process started with pid [5937]
[INFO] [static_transform_publisher-6]: process started with pid [5938]
[INFO] [static_transform_publisher-7]: process started with pid [5939]
[static_transform_publisher-6] [WARN] [1732735949.133329804] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-7] [WARN] [1732735949.147949812] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-6] [INFO] [1732735949.167890555] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-6] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-6] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-6] from 'map' to 'imu_frame'
[static_transform_publisher-7] [INFO] [1732735949.198802989] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-7] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-7] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-7] from 'map' to 'gps_sensor'
[drive_hardware-4] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-4]   warnings.warn(PWMSoftwareFallback(
[controller-1] [INFO] [1732735950.649234880] [drone_home1.sim]: Controller running
[imu_publisher-2] [INFO] [1732735951.881330316] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-2] [INFO] [1732735952.383482300] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[drive_publisher-3] [INFO] [1732735952.634937216] [drone_home1.sim]: Sent: 0.0, 0.022602306688225667
[drive_publisher-3] [INFO] [1732735952.663302791] [drone_home1.sim]: Sent: 0.0, 0.022602306688225667
[drive_publisher-3] [INFO] [1732735952.705580433] [drone_home1.sim]: Sent: 0.0, 0.022602306688225667
[drive_publisher-3] [INFO] [1732735952.805255130] [drone_home1.sim]: Sent: 0.0, 0.022602306688225667
[drive_publisher-3] [INFO] [1732735952.861266079] [drone_home1.sim]: Sent: 0.0, 0.022602306688225667
[imu_publisher-2] [INFO] [1732735952.885557988] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[drive_publisher-3] [INFO] [1732735952.887472183] [drone_home1.sim]: Sent: 0.0, 0.008939873364466581
[drive_publisher-3] [INFO] [1732735952.897467101] [drone_home1.sim]: Sent: 0.0, -0.015146629546489184
[drive_publisher-3] [INFO] [1732735952.909452676] [drone_home1.sim]: Sent: 0.0, -0.12472363217705193
[drive_publisher-3] [INFO] [1732735952.915384612] [drone_home1.sim]: Sent: 0.00016778426888826943, -0.12472363217705193
[drive_publisher-3] [INFO] [1732735952.917048438] [drone_home1.sim]: Sent: 0.00016778426888826943, -0.1659506181093544
[drive_publisher-3] [INFO] [1732735952.921406825] [drone_home1.sim]: Sent: 0.01745082499976435, -0.1659506181093544
[drive_publisher-3] [INFO] [1732735952.923046170] [drone_home1.sim]: Sent: 0.01745082499976435, -0.17137522367737873
[drive_publisher-3] [INFO] [1732735952.929052346] [drone_home1.sim]: Sent: 0.038215703654594306, -0.17137522367737873
[drive_publisher-3] [INFO] [1732735952.930499673] [drone_home1.sim]: Sent: 0.038215703654594306, -0.15510141867665037
[drive_publisher-3] [INFO] [1732735952.939421466] [drone_home1.sim]: Sent: 0.09009005898971278, -0.15510141867665037
[drive_publisher-3] [INFO] [1732735952.940950978] [drone_home1.sim]: Sent: 0.09009005898971278, -0.10085537469975164
[drive_publisher-3] [INFO] [1732735952.945410069] [drone_home1.sim]: Sent: 0.16447021523320382, -0.10085537469975164
[drive_publisher-3] [INFO] [1732735952.947041987] [drone_home1.sim]: Sent: 0.16447021523320382, -0.05203393629087726
[drive_publisher-3] [INFO] [1732735952.955038692] [drone_home1.sim]: Sent: 0.23710943459397146, -0.05203393629087726
[drive_publisher-3] [INFO] [1732735952.956526259] [drone_home1.sim]: Sent: 0.23710943459397146, -0.017316472066282534
[drive_publisher-3] [INFO] [1732735952.959411246] [drone_home1.sim]: Sent: 0.339167702461909, -0.017316472066282534
[drive_publisher-3] [INFO] [1732735952.960879424] [drone_home1.sim]: Sent: 0.339167702461909, -0.0010426593852342458
[drive_publisher-3] [INFO] [1732735952.965287330] [drone_home1.sim]: Sent: 0.5086424317074948, -0.0010426593852342458
[drive_publisher-3] [INFO] [1732735952.971435451] [drone_home1.sim]: Sent: 0.7196721331187548, -0.0010426593852342458
[drive_publisher-3] [INFO] [1732735952.977611200] [drone_home1.sim]: Sent: 0.7853981633974483, -0.0010426593852342458
[drive_publisher-3] [INFO] [1732735952.979426859] [drone_home1.sim]: Sent: 0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.031236328] [drone_home1.sim]: Sent: 0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.083263611] [drone_home1.sim]: Sent: 0.7853981633974483, 0.0009669671809215434
[drive_publisher-3] [INFO] [1732735953.095058039] [drone_home1.sim]: Sent: 0.7853981633974483, 0.0021023495141530403
[drive_publisher-3] [INFO] [1732735953.121212383] [drone_home1.sim]: Sent: 0.7853981633974483, 0.003237731755952157
[drive_publisher-3] [INFO] [1732735953.131607355] [drone_home1.sim]: Sent: 0.7853981633974483, 0.004373113814886514
[drive_publisher-3] [INFO] [1732735953.133315125] [drone_home1.sim]: Sent: 0.7853981633974483, 0.006656493772541308
[drive_publisher-3] [INFO] [1732735953.155186100] [drone_home1.sim]: Sent: 0.7853981633974483, 0.007791876197205184
[drive_publisher-3] [INFO] [1732735953.159493339] [drone_home1.sim]: Sent: 0.7853981633974483, 0.008939873364466581
[drive_publisher-3] [INFO] [1732735953.165490368] [drone_home1.sim]: Sent: 0.7853981633974483, 0.010075255789130459
[drive_publisher-3] [INFO] [1732735953.195325973] [drone_home1.sim]: Sent: 0.7853981633974483, 0.011210638213794335
[drive_publisher-3] [INFO] [1732735953.211042439] [drone_home1.sim]: Sent: 0.7853981633974483, 0.012346020638458213
[drive_publisher-3] [INFO] [1732735953.237205858] [drone_home1.sim]: Sent: 0.7853981633974483, 0.01349401780571961
[drive_publisher-3] [INFO] [1732735953.261639525] [drone_home1.sim]: Sent: 0.7853981633974483, 0.01576478265504736
[drive_publisher-3] [INFO] [1732735953.263479016] [drone_home1.sim]: Sent: 0.7853981633974483, 0.01349401780571961
[drive_publisher-3] [INFO] [1732735953.267597461] [drone_home1.sim]: Sent: 0.7853981633974483, 0.008939873364466581
[drive_publisher-3] [INFO] [1732735953.273332768] [drone_home1.sim]: Sent: 0.7853981633974483, 0.005521111713606951
[drive_publisher-3] [INFO] [1732735953.279487666] [drone_home1.sim]: Sent: 0.5899357828847324, 0.005521111713606951
[drive_publisher-3] [INFO] [1732735953.281060492] [drone_home1.sim]: Sent: 0.5899357828847324, 0.0
[drive_publisher-3] [INFO] [1732735953.285297010] [drone_home1.sim]: Sent: 0.14716193989691945, 0.0
[drive_publisher-3] [INFO] [1732735953.291352464] [drone_home1.sim]: Sent: 0.0, 0.0
[drive_publisher-3] [INFO] [1732735953.292787884] [drone_home1.sim]: Sent: 0.0, 0.0021023495141530403
[drive_publisher-3] [INFO] [1732735953.297246937] [drone_home1.sim]: Sent: 0.0, 0.003237731755952157
[drive_publisher-3] [INFO] [1732735953.303479928] [drone_home1.sim]: Sent: -0.23211376831013292, 0.003237731755952157
[drive_publisher-3] [INFO] [1732735953.305146531] [drone_home1.sim]: Sent: -0.23211376831013292, 0.0
[drive_publisher-3] [INFO] [1732735953.311033171] [drone_home1.sim]: Sent: -0.49062770737906, 0.0
[drive_publisher-3] [INFO] [1732735953.315248189] [drone_home1.sim]: Sent: -0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.331151099] [drone_home1.sim]: Sent: -0.7853981633974483, -0.0010426593852342458
[imu_publisher-2] [INFO] [1732735953.387639306] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[drive_publisher-3] [INFO] [1732735953.401372503] [drone_home1.sim]: Sent: -0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.434982369] [drone_home1.sim]: Sent: -0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.497350734] [drone_home1.sim]: Sent: -0.7853981633974483, 0.0
[drive_publisher-3] [INFO] [1732735953.515079876] [drone_home1.sim]: Sent: -0.7298905573857127, 0.0
[drive_publisher-3] [INFO] [1732735953.519385320] [drone_home1.sim]: Sent: -0.25989278032034263, 0.0
[drive_publisher-3] [INFO] [1732735953.531573468] [drone_home1.sim]: Sent: 0.0036243923419175816, 0.0
[drive_publisher-3] [INFO] [1732735953.533250146] [drone_home1.sim]: Sent: 0.0036243923419175816, 0.006656493772541308
[drive_publisher-3] [INFO] [1732735953.537412497] [drone_home1.sim]: Sent: 0.18349416578281885, 0.006656493772541308
[drive_publisher-3] [INFO] [1732735953.543367489] [drone_home1.sim]: Sent: 0.7196721331187548, 0.006656493772541308
[drive_publisher-3] [INFO] [1732735953.549408665] [drone_home1.sim]: Sent: 0.7853981633974483, 0.006656493772541308
[drive_publisher-3] [INFO] [1732735953.551157861] [drone_home1.sim]: Sent: 0.7853981633974483, 0.003237731755952157
[drive_publisher-3] [INFO] [1732735953.561470277] [drone_home1.sim]: Sent: 0.7853981633974483, 0.007791876197205184
[drive_publisher-3] [INFO] [1732735953.567389676] [drone_home1.sim]: Sent: 0.7853981633974483, 0.01349401780571961
[drive_publisher-3] [INFO] [1732735953.573330279] [drone_home1.sim]: Sent: 0.7853981633974483, 0.021454309520964266
[drive_publisher-3] [INFO] [1732735953.591152032] [drone_home1.sim]: Sent: 0.7853981633974483, 0.02487307153755342
[drive_publisher-3] [INFO] [1732735953.595758807] [drone_home1.sim]: Sent: 0.7853981633974483, 0.02829183209122449
[drive_publisher-3] [INFO] [1732735953.601664854] [drone_home1.sim]: Sent: 0.7853981633974483, 0.029427214515888367
[drive_publisher-3] [INFO] [1732735953.607404125] [drone_home1.sim]: Sent: 0.7853981633974483, 0.030575213146067842
[drive_publisher-3] [INFO] [1732735953.613342931] [drone_home1.sim]: Sent: 0.7853981633974483, 0.029427214515888367
[drive_publisher-3] [INFO] [1732735953.707670819] [drone_home1.sim]: Sent: 0.7853981633974483, 0.029427214515888367
[drive_publisher-3] [INFO] [1732735953.759591713] [drone_home1.sim]: Sent: 0.7853981633974483, 0.029427214515888367
[drive_publisher-3] [INFO] [1732735953.777506039] [drone_home1.sim]: Sent: 0.7853981633974483, 0.02829183209122449
[drive_publisher-3] [INFO] [1732735953.783471142] [drone_home1.sim]: Sent: 0.7853981633974483, 0.02715644966656061
[drive_publisher-3] [INFO] [1732735953.801437801] [drone_home1.sim]: Sent: 0.7853981633974483, 0.026021070167732894
[drive_publisher-3] [INFO] [1732735953.825493562] [drone_home1.sim]: Sent: 0.7853981633974483, 0.018048162246972636
[drive_publisher-3] [INFO] [1732735953.831494276] [drone_home1.sim]: Sent: 0.7853981633974483, 0.010075255789130459
[drive_publisher-3] [INFO] [1732735953.833213231] [drone_home1.sim]: Sent: 0.6954506569970516, 0.010075255789130459
[drive_publisher-3] [INFO] [1732735953.834886020] [drone_home1.sim]: Sent: 0.6954506569970516, 0.0009669671809215434
[drive_publisher-3] [INFO] [1732735953.839140093] [drone_home1.sim]: Sent: 0.36164825925590577, 0.0009669671809215434
[drive_publisher-3] [INFO] [1732735953.840779604] [drone_home1.sim]: Sent: 0.36164825925590577, 0.0
[drive_publisher-3] [INFO] [1732735953.849374862] [drone_home1.sim]: Sent: 0.005340081087240437, 0.0
[drive_publisher-3] [INFO] [1732735953.850787966] [drone_home1.sim]: Sent: 0.005340081087240437, -0.010806946701279602
[drive_publisher-3] [INFO] [1732735953.863037337] [drone_home1.sim]: Sent: 0.0, -0.010806946701279602
[drive_publisher-3] [INFO] [1732735953.867530779] [drone_home1.sim]: Sent: 0.0, -0.018401392594720168
[drive_publisher-3] [INFO] [1732735953.877064199] [drone_home1.sim]: Sent: -0.3667196461795272, -0.018401392594720168
[drive_publisher-3] [INFO] [1732735953.878734247] [drone_home1.sim]: Sent: -0.3667196461795272, -0.0650529884838012
[drive_publisher-3] [INFO] [1732735953.880306018] [drone_home1.sim]: Sent: -0.7853981633974483, -0.0650529884838012
[drive_publisher-3] [INFO] [1732735953.881799067] [drone_home1.sim]: Sent: -0.7853981633974483, -0.16161093599560386
[imu_publisher-2] [INFO] [1732735953.889534328] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[drive_publisher-3] [INFO] [1732735953.903286525] [drone_home1.sim]: Sent: -0.7853981633974483, -0.17679982924540308
[drive_publisher-3] [INFO] [1732735953.907605820] [drone_home1.sim]: Sent: -0.7853981633974483, -0.15293157176810276
[drive_publisher-3] [INFO] [1732735953.909330609] [drone_home1.sim]: Sent: -0.7853981633974483, -0.13774267851830355
[drive_publisher-3] [INFO] [1732735953.911103878] [drone_home1.sim]: Sent: -0.7853981633974483, -0.10411013335922839
[drive_publisher-3] [INFO] [1732735953.913066851] [drone_home1.sim]: Sent: -0.7853981633974483, -0.07590219376817756
[drive_publisher-3] [INFO] [1732735953.914600974] [drone_home1.sim]: Sent: -0.7853981633974483, -0.05854346531317539
[drive_publisher-3] [INFO] [1732735953.924918427] [drone_home1.sim]: Sent: -0.7853981633974483, -0.04986409523400199
[drive_publisher-3] [INFO] [1732735953.929835775] [drone_home1.sim]: Sent: -0.7853981633974483, -0.04552441312025145
[drive_publisher-3] [INFO] [1732735953.935422416] [drone_home1.sim]: Sent: -0.7853981633974483, -0.04226965153493854
[drive_publisher-3] [INFO] [1732735953.941397556] [drone_home1.sim]: Sent: -0.7853981633974483, -0.037929966495351845
[drive_publisher-3] [INFO] [1732735953.947508528] [drone_home1.sim]: Sent: -0.7853981633974483, -0.033590284381601304
[drive_publisher-3] [INFO] [1732735953.953514445] [drone_home1.sim]: Sent: -0.7853981633974483, -0.028165678813576966
[drive_publisher-3] [INFO] [1732735953.959475381] [drone_home1.sim]: Sent: -0.7853981633974483, -0.019486313123157805
